STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930101,56,38,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930102,63,44,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930103,58,40,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930104,67,46,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930105,65,37,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930106,63,32,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930107,64,40,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930108,54,30,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930109,64,36,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930110,60,38,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930111,62,42,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930112,54,37,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930113,53,37,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930114,56,39,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930115,45,32,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930116,46,35,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930117,57,42,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930118,64,39,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930119,46,28,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930120,43,29,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930121,51,32,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930122,58,36,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930123,59,35,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930124,62,36,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930125,66,44,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930126,65,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930127,63,52,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930128,70,51,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930129,67,51,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930130,73,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930131,72,49,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930201,72,60,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930202,76,61,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930203,66,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930204,70,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930205,72,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930206,72,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930207,67,40,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930208,62,50,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930209,74,60,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930210,70,60,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930211,76,61,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930212,70,60,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930213,72,59,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930214,74,60,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930215,76,66,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930216,78,57,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930217,68,57,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930218,62,45,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930219,67,42,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930220,70,52,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930221,68,46,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930222,64,44,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930223,70,54,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930224,74,57,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930225,70,52,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930226,67,57,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930227,76,67,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930228,70,53,-9999
GHCND:USW00012930,NEW ORLEANS AUDUBON LA US,18930301,68,56,-9999
