date,height,lat,lon,tas,GFDL-CM4,BCC-CSM2-MR,BCC-ESM1,CESM2-WACCM,CESM2,SAM0-UNICON,CanESM5,INM-CM4-8,INM-CM5-0,GFDL-ESM4,NorESM2-LM,FGOALS-g3,FGOALS-f3-L,NorESM2-MM,CESM2-FV2,KIOST-ESM,CMCC-CM2-SR5,TaiESM1,NorCPM1,IPSL-CM5A2-INCA,CMCC-CM2-HR4,CMCC-ESM2
1985-01-01 12:00:00,2.0,29.000000000000004,-91.25,282.21344,282.21344,290.50296,292.00482,293.91553,289.47882,285.71115,287.63544,285.01273,292.525,291.43622,294.7426,287.29404,292.22424,282.30014,284.41818,280.1185,283.81924,279.76822,286.9926,284.96628,283.6786,282.80145
1985-01-02 12:00:00,2.0,29.000000000000004,-91.25,286.59824,286.59824,291.34158,287.01804,286.49634,287.08096,285.1225,287.8212,288.24487,292.6937,291.48853,294.4686,287.93008,292.91574,285.92273,286.61285,282.09976,282.92368,280.48312,287.28607,288.78497,274.8545,284.7498
1985-01-03 12:00:00,2.0,29.000000000000004,-91.25,279.28607,279.28607,293.8609,286.3817,285.67435,287.30765,286.90054,286.2567,294.5448,286.716,292.96472,294.32635,286.44244,286.61145,291.41476,290.76212,282.63132,282.86212,284.93997,287.2721,286.1825,275.48016,285.9401
1985-01-04 12:00:00,2.0,29.000000000000004,-91.25,281.33954,281.33954,294.04797,288.61133,288.42926,287.9523,288.41473,286.08972,295.2527,286.17447,294.34436,292.60544,281.5395,290.7361,293.51315,291.0043,282.21112,283.55267,288.83112,285.7273,291.5375,276.13647,286.97375
1985-01-05 12:00:00,2.0,29.000000000000004,-91.25,283.85867,283.85867,288.07504,289.98514,292.56897,290.9752,288.07812,287.01428,295.51755,282.66492,287.7302,286.21463,275.0928,293.2386,286.39597,291.7459,279.68228,284.34537,291.91046,281.50607,293.8489,278.36273,290.33597
1985-01-06 12:00:00,2.0,29.000000000000004,-91.25,284.87872,284.87872,289.4001,291.3007,294.48386,291.55573,288.57748,289.46683,292.60904,282.58023,286.43112,287.476,280.45236,291.8899,286.06818,291.4854,277.62515,285.04355,293.51315,280.9669,284.5436,278.69214,290.9911
1985-01-07 12:00:00,2.0,29.000000000000004,-91.25,284.08734,284.08734,288.19885,287.58023,293.91306,286.62775,291.72818,292.14627,293.34122,292.2096,285.37915,290.9326,287.11047,287.52448,285.504,291.40305,278.95206,285.38303,291.08084,282.09375,289.09872,276.3253,287.41632
1985-01-08 12:00:00,2.0,29.000000000000004,-91.25,286.50125,286.50125,284.1409,285.57346,294.01022,291.80923,291.47882,291.92218,295.18768,293.43646,282.54727,293.1845,290.41183,285.9679,283.21628,292.0525,280.44034,286.23157,282.83765,283.10092,293.81784,274.33148,283.4365
1985-01-09 12:00:00,2.0,29.000000000000004,-91.25,284.9876,284.9876,285.5358,287.732,294.2946,289.3773,292.2313,294.18982,295.29147,293.72626,279.7541,283.11362,291.58688,287.9054,287.6631,285.61008,279.33243,287.23682,286.15,284.7651,286.6863,272.6376,280.551
1985-01-10 12:00:00,2.0,29.000000000000004,-91.25,283.48056,283.48056,280.1705,290.35568,292.98584,286.57922,290.5516,293.66534,295.27243,289.9577,280.99762,278.46017,288.9022,290.55038,292.18448,279.8643,277.90717,288.5329,284.3318,285.67038,283.70844,275.52344,284.58118
