Month,1960-1989 Lower 95% CI (F),1960-1989 Mean Temperature (F),1960-1989 Upper 95% CI (F),1990-2019 Lower 95% CI (F),1990-2019 Mean Temperature (F),1990-2019 Upper 95% CI (F),2020-2049 Lower 95% CI (F),2020-2049 Mean Temperature (F),2020-2049 Upper 95% CI (F),2050-2079 Lower 95% CI (F),2050-2079 Mean Temperature (F),2050-2079 Upper 95% CI (F)
August,82.5,89.6,94.5,85.0,91.7,97.0,85.2,92.8,98.2,89.2,94.9,99.2
September,77.5,86.3,92.5,79.5,88.2,94.0,80.5,89.2,95.2,82.9,91.0,96.2
October,68.5,79.3,87.5,67.5,80.6,89.5,69.6,81.4,90.4,72.0,83.5,91.9
November,54.5,70.8,82.5,56.0,71.0,83.0,58.4,72.5,84.1,60.4,74.7,85.7
December,46.0,63.8,79.0,48.0,64.7,79.3,49.3,65.7,80.1,51.0,67.2,81.4
January,41.0,60.4,77.0,45.0,62.5,77.0,46.5,63.5,78.1,48.5,65.2,79.6
February,46.5,63.5,78.0,49.7,66.5,80.0,50.4,66.7,79.7,51.8,68.9,81.5
March,55.5,71.0,82.0,57.2,72.3,82.5,58.4,73.4,83.4,60.0,75.0,84.4
April,67.0,78.2,85.5,67.0,78.6,86.5,68.1,79.5,87.7,70.4,81.7,89.3
May,75.5,83.9,90.0,77.0,85.5,92.0,78.9,86.7,93.1,81.0,88.9,94.6
June,82.0,88.7,94.0,84.0,90.3,95.5,84.7,91.1,96.8,87.7,93.4,98.3
July,84.0,90.3,95.0,85.5,91.6,96.5,85.9,92.4,97.6,89.5,94.6,98.8
